id,name,serving,unit,calories,protein,carbs,fat,source
beef-ground70raw,ground beef 70/30 raw,100,g,270,25.6,0,17.9,NCCDB
beef-ground75raw,ground beef 75/25 raw,100,g,277,26.3,0,18.2,NCCDB
beef-ground80raw,ground beef 80/20 raw,100,g,254,25.3,0,16.2,NCCDB
beef-ground85raw,ground beef 85/15 raw,100,g,240,25.9,0,14.4,NCCDB
beef-ground90raw,ground beef 90/10 raw,100,g,214,26.6,0,11.1,NCCDB
beef-ground93raw,ground beef 93/7 raw,100,g,192,27,0,8.4,NCCDB
beef-ground85raw,ground beef 95/5 raw,100,g,174,27.3,0,6.4,NCCDB
turkey-ground85raw,ground turkey 85/15 raw,100,g,258,25.1,0,17.5,NCCDB
turkey-ground93raw,ground turkey 93/7 raw,100,g,213,27.1,0,11.6,NCCDB
milk-almond,almond milk (unsweetened),1,cup,37,1.3,0.8,3,NCCDB
apple,apple,100,g,52,0.3,10.6,0.2,NCCDB
asparagus,asparagus,100,g,20,2.2,1.7,0.1,NCCDB
avocado,avocado,100,g,160,2,1.8,14.7,USDA
bellpepper-green,bell pepper (green),100,g,20,0.7,3.8,0.1,NCCDB
bellpepper-redyellow,bell pepper (red/yellow),100,g,27,0.8,5.5,0.1,NCCDB
butter-peanut,peanut butter,1,tbsp,95,3.9,2.6,8,NCCDB
honey,honey,1,tbsp,64,0.1,17.3,0,NCCDB
almond,almonds,100,g,584,21.5,9,51.1,NCCDB
butter-almond,almond butter,1,tbsp,94,3.2,1.8,8.3,NCCDB
salmon-raw,atlantic salmon raw,100,g,208,20.4,0,13.4,NCCDB
jam-apricot,apricot jam,1,tbsp,48,0.1,12.8,0,USDA
jam-strawberry,straberry jam,1,tbsp,59,0,14.1,0,USDA
jam-blackberry,blackberry jam,1,tbsp,50,0,12.5,0,USDA
jam-raspberry,raspberry jam,1,tbsp,50,0.1,12,0,BD
jam-blueberry,blueberry jam,1,tbsp,50,0,12,0,BD
jam-cherry,cherry jam,1,tbsp,50,0.1,13,0,BD
jam-peach,peach jam,1,tbsp,50,0.1,14,0,BD
honey,honey,1,tbsp,64,0.1,17.3,0,NCCDB
pasta-spaghetti
pasta-penne
pasta-fusilli
pasta-macaroni
pasta-rigatoni
pasta-fettuccine
pasta-wholewheat
pasta-glutenfree